Incident Number,Exposure Number,Alarm Date,Alarm Time,Incident Type,Incident Description,Estimated Property Loss,Estimated Content Loss,District,City Section,Neighborhood,Zip,Property Use,Property Description,Street Number,Street Prefix,Street Name,Street Type,Street Suffix,Address 2,xStreet Prefix,xStreet Name,xStreet Type,xStreet Suffix
17-0008095,0,02/07/17,18:44:45,745,"Alarm system activation, no fire - unintentional  ",0,0,7,RX             ,Roxbury                                           ,02119,429,Multifamily dwelling                              ,430,  ,DUDLEY                   ,  ,ST  ,: #INS634                               ,  ,                         ,  ,
17-0008097,0,02/07/17,18:49:11,745,"Alarm system activation, no fire - unintentional  ",0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,2,  ,MAYFIELD                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008099,0,02/07/17,18:59:47,700,"False alarm or false call, Other                  ",0,0,8,DO             ,Dorchester                                        ,02126,500,"Mercantile, business, Other                       ",875,  ,MORTON                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008100,0,02/07/17,18:59:58,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02113,429,Multifamily dwelling                              ,37,N ,BENNET                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008101,0,02/07/17,19:12:04,611,Dispatched & cancelled en route                   ,0,0,9,JP             ,Jamaica Plain                                     ,02130,    ,NULL,150,S ,HUNTINGTON               ,  ,AVE ,: @HOSP-VA JP                           ,  ,                         ,  ,
17-0008102,0,02/07/17,19:13:40,113,"Cooking fire, confined to container               ",200,0,4,BO             ,Boston                                            ,02215,429,Multifamily dwelling                              ,82-86   ,  ,JERSEY                   ,  ,ST  ,: #CLM1052                              ,  ,                         ,  ,
17-0008103,0,02/07/17,19:21:01,113,"Cooking fire, confined to container               ",0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,58,  ,TREMONT                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008105,0,02/07/17,19:25:13,715,"Local alarm system, malicious false alarm         ",0,0,11,BR             ,Allston-Brighton                                  ,02135,419,1 or 2 family dwelling                            ,8,  ,CORINNE                  ,  ,RD  ,                                        ,  ,                         ,  ,
17-0008107,0,02/07/17,19:54:55,743,"Smoke detector activation, no fire - unintentional",0,0,9,RX             ,Roxbury                                           ,02115,331,Hospital - medical or psychiatric                 ,70,  ,FRANCIS                  ,  ,ST  ,: #12-2356                              ,  ,                         ,  ,
17-0008110,0,02/07/17,20:10:19,600,"Good intent call, Other                           ",0,0,4,BO             ,Boston                                            ,02115,174,Rapid transit station                             ,100,  ,MASSACHUSETTS            ,  ,AVE ,: @MBTA STA-HYNES CON                   ,  ,                         ,  ,
17-0008115,0,02/07/17,20:31:23,712,"Direct tie to FD, malicious false alarm           ",0,0,9,JP             ,Jamaica Plain                                     ,02130,429,Multifamily dwelling                              ,125,  ,SOUTH                    ,  ,ST  ,: #14-2514                              ,  ,                         ,  ,
17-0008116,0,02/07/17,20:36:14,735,Alarm system sounded due to malfunction           ,0,0,3,BO             ,Boston                                            ,02113,429,Multifamily dwelling                              ,109,  ,SALEM                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008117,0,02/07/17,20:43:21,712,"Direct tie to FD, malicious false alarm           ",0,0,6,RX             ,Roxbury                                           ,02118,361,"Jail, prison (not juvenile)                       ",20,  ,BRADSTON                 ,  ,ST  ,: #14-7276                              ,  ,                         ,  ,
17-0008118,0,02/07/17,20:49:49,714,"Central station, malicious false alarm            ",0,0,12,WR             ,West Roxbury                                      ,02132,429,Multifamily dwelling                              ,11,  ,CHERITON                 ,  ,RD  ,: #WYN4051                              ,  ,                         ,  ,
17-0008121,0,02/07/17,21:21:20,651,"Smoke scare, odor of smoke                        ",0,0,3,BO             ,Boston                                            ,02114,419,1 or 2 family dwelling                            ,89,  ,PINCKNEY                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008123,0,02/07/17,21:25:42,522,Water or steam leak                               ,0,0,12,WR             ,West Roxbury                                      ,02132,311,"24-hour care Nursing homes, 4 or more persons     ",1190,  ,VFW                      ,  ,PKWY,: #13-2883                              ,  ,                         ,  ,
17-0008125,0,02/07/17,21:36:25,522,Water or steam leak                               ,0,0,12,HP             ,Hyde Park                                         ,02136,952,Railroad yard                                     ,41,  ,WOLCOTT                  ,  ,CT  ,: #12-3854                              ,  ,                         ,  ,
17-0008126,0,02/07/17,21:37:48,118,"Trash or rubbish fire, contained                  ",500,500,4,BO             ,Boston                                            ,02215,429,Multifamily dwelling                              ,464,  ,COMMONWEALTH             ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008127,0,02/07/17,21:38:26,733,Smoke detector activation due to malfunction      ,0,0,1,EB             ,East Boston                                       ,02128,419,1 or 2 family dwelling                            ,198,  ,FAYWOOD                  ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008129,0,02/07/17,21:52:39,611,Dispatched & cancelled en route                   ,0,0,8,MT             ,Mattapan                                          ,02126,429,Multifamily dwelling                              ,86,  ,ASTORIA                  ,  ,ST  ,: IN REAR ON THE 2ND FLOOR              ,  ,                         ,  ,
17-0008132,0,02/07/17,22:07:47,550,"Public service assistance, Other                  ",0,0,8,DO             ,Dorchester                                        ,02124,400,"Residential, Other                                ",2262,  ,DORCHESTER               ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008133,0,02/07/17,22:39:09,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02114,174,Rapid transit station                             ,135-143 ,  ,CAUSEWAY                 ,  ,ST  ,: @MBTA STA-NORTH STATION               ,  ,                         ,  ,
17-0008134,0,02/07/17,22:40:19,440,"Electrical  wiring/equipment problem, Other       ",0,0,8,MT             ,Mattapan                                          ,02126,400,"Residential, Other                                ",31,  ,WOODDALE                 ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008136,0,02/07/17,22:51:12,500,"Service Call, other                               ",0,0,8,DO             ,Dorchester                                        ,02124,960,"Street, Other                                     ",        ,  ,ADAMS                    ,  ,ST  ,                                        ,  ,RICHMOND                 ,  ,ST
17-0008140,0,02/07/17,23:07:43,113,"Cooking fire, confined to container               ",0,0,6,DO             ,Dorchester                                        ,02125,400,"Residential, Other                                ",66,  ,BEACH POINT              ,  ,PL  ,: #13-1918                              ,  ,                         ,  ,
17-0008142,0,02/07/17,23:12:41,611,Dispatched & cancelled en route                   ,0,0,9,JP             ,Jamaica Plain                                     ,02130,    ,NULL,90,  ,SOUTH                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008145,0,02/07/17,23:51:20,118,"Trash or rubbish fire, contained                  ",0,0,6,DO             ,Dorchester                                        ,02125,400,"Residential, Other                                ",7,  ,PENINSULA                ,  ,PL  ,: #13-1911                              ,  ,                         ,  ,
17-0008146,0,02/08/17,0:07:10,714,"Central station, malicious false alarm            ",0,0,12,RS             ,Roslindale                                        ,02131,519,"Food and beverage sales, grocery store            ",718,  ,AMERICAN LEGION          ,  ,HWY ,": @MCDONALDS - 718 AMERICAN LEGION HWY, ",  ,                         ,  ,
17-0008149,0,02/08/17,0:55:03,522,Water or steam leak                               ,0,0,8,MT             ,Mattapan                                          ,02126,429,Multifamily dwelling                              ,640,  ,RIVER                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008152,0,02/08/17,1:00:12,522,Water or steam leak                               ,0,0,12,WR             ,West Roxbury                                      ,02132,311,"24-hour care Nursing homes, 4 or more persons     ",1190,  ,VFW                      ,  ,PKWY,: #13-2883                              ,  ,                         ,  ,
17-0008153,0,02/08/17,1:04:08,730,"System malfunction, Other                         ",0,0,3,BO             ,Boston                                            ,02110,599,Business office                                   ,77,  ,FRANKLIN                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008154,0,02/08/17,1:05:38,745,"Alarm system activation, no fire - unintentional  ",0,0,12,WR             ,West Roxbury                                      ,02132,429,Multifamily dwelling                              ,4925,  ,WASHINGTON               ,  ,ST  ,: #WYN2269                              ,  ,                         ,  ,
17-0008157,0,02/08/17,1:30:15,600,"Good intent call, Other                           ",0,0,3,BO             ,Boston                                            ,02111,900,"Outside or special property, Other                ",        ,  ,SUMMER                   ,  ,ST  ,: #1442                                 ,  ,WASHINGTON               ,  ,ST
17-0008158,0,02/08/17,1:39:09,736,CO detector activation due to malfunction         ,0,0,4,BO             ,Boston                                            ,02115,400,"Residential, Other                                ",103,  ,GAINSBOROUGH             ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008159,0,02/08/17,2:02:30,710,"Malicious, mischievous false call, Other          ",0,0,11,BR             ,Allston-Brighton                                  ,02135,321,Mental retardation/development disability facility,200,  ,COREY                    ,  ,RD  ,                                        ,  ,                         ,  ,
17-0008161,0,02/08/17,2:18:08,131,Passenger vehicle fire                            ,20000,1000,3,CH             ,Charlestown                                       ,02129,960,"Street, Other                                     ",150,  ,THIRD                    ,  ,AVE ,: @YMCA-CHARLESTOWN YMCA - 150 THIRD AVE,  ,                         ,  ,
17-0008163,0,02/08/17,3:21:20,740,"Unintentional transmission of alarm, Other        ",0,0,6,DO             ,Dorchester                                        ,02125,400,"Residential, Other                                ",7,  ,OCEAN VIEW               ,  ,DR  ,: #12-1918                              ,  ,                         ,  ,
17-0008169,0,02/08/17,6:01:09,731,Sprinkler activation due to malfunction           ,0,0,1,EB             ,East Boston                                       ,02128,449,"Hotel/motel, commercial                           ",207,  ,PORTER                   ,  ,ST  ,: #12-6143                              ,  ,                         ,  ,
17-0008179,0,02/08/17,6:21:32,553,Public service                                    ,0,0,11,BR             ,Allston-Brighton                                  ,02134,960,"Street, Other                                     ",        ,  ,SOLDIERS FIELD           ,  ,RD  ,                                        ,  ,CAMBRIDGE                ,  ,ST
17-0008195,0,02/08/17,6:44:50,611,Dispatched & cancelled en route                   ,0,0,11,BR             ,Allston-Brighton                                  ,02135,963,Street or road in commercial area                 ,1726,  ,COMMONWEALTH             ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008201,0,02/08/17,6:53:39,600,"Good intent call, Other                           ",0,0,12,JP             ,Jamaica Plain                                     ,02130,900,"Outside or special property, Other                ",177,  ,MORTON                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008205,0,02/08/17,7:00:27,700,"False alarm or false call, Other                  ",0,0,8,DO             ,Dorchester                                        ,02124,429,Multifamily dwelling                              ,1185,  ,ADAMS                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008210,0,02/08/17,7:03:20,553,Public service                                    ,0,0,11,BR             ,Allston-Brighton                                  ,02135,960,"Street, Other                                     ",50,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008219,0,02/08/17,7:11:37,553,Public service                                    ,0,0,4,RX             ,Roxbury                                           ,02118,900,"Outside or special property, Other                ",        ,  ,BENTON                   ,  ,ST  ,                                        ,  ,COLUMBUS                 ,  ,AVE
17-0008223,0,02/08/17,7:19:17,611,Dispatched & cancelled en route                   ,0,0,8,MT             ,Mattapan                                          ,02126,    ,NULL,100,  ,HAZLETON                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008229,0,02/08/17,7:27:35,553,Public service                                    ,0,0,9,RX             ,Roxbury                                           ,02115,200,"Educational, Other                                ",677,  ,HUNTINGTON               ,  ,AVE ,: @COL-HARVARD SCHOOL OF PUBLIC HEALTH-K,  ,                         ,  ,
17-0008230,0,02/08/17,7:30:16,553,Public service                                    ,0,0,11,BR             ,Allston-Brighton                                  ,02135,962,"Residential street, road or residential driveway  ",        ,  ,MURDOCK                  ,  ,ST  ,                                        ,  ,SPARHAWK                 ,  ,ST
17-0008232,0,02/08/17,7:31:19,641,Vicinity alarm (incident in other location)       ,0,0,7,DO             ,Dorchester                                        ,02125,951,Railroad right-of-way                             ,686,  ,DUDLEY                   ,  ,ST  ,: @MBTA STA-UPHAMS CORNER               ,  ,                         ,  ,
17-0008239,0,02/08/17,7:41:22,746,"Carbon monoxide detector activation, no CO        ",0,0,12,WR             ,West Roxbury                                      ,02132,400,"Residential, Other                                ",61,  ,MONTVIEW                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008242,0,02/08/17,7:46:21,600,"Good intent call, Other                           ",0,0,9,DO             ,Dorchester                                        ,02121,900,"Outside or special property, Other                ",        ,  ,BLUE HILL                ,  ,AVE ,: alias BHA/MCLELLAN ST DO BSTN         ,  ,MCLELLAN                 ,  ,ST
17-0008248,0,02/08/17,7:58:12,553,Public service                                    ,0,0,3,CH             ,Charlestown                                       ,02129,962,"Residential street, road or residential driveway  ",25,  ,COREY                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008257,0,02/08/17,8:06:02,741,"Sprinkler activation, no fire - unintentional     ",0,0,6,SB             ,South Boston                                      ,02210,599,Business office                                   ,1,  ,DESIGN CENTER            ,  ,PL  ,: #17-751                               ,  ,                         ,  ,
17-0008263,0,02/08/17,8:20:53,745,"Alarm system activation, no fire - unintentional  ",0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,28,  ,WALLINGFORD              ,  ,RD  ,: #14-5331                              ,  ,                         ,  ,
17-0008267,0,02/08/17,8:34:28,611,Dispatched & cancelled en route                   ,0,0,7,DO             ,Dorchester                                        ,02121,    ,NULL,30,  ,VASSAR                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008269,0,02/08/17,8:40:40,600,"Good intent call, Other                           ",0,0,8,DO             ,Dorchester                                        ,02124,419,1 or 2 family dwelling                            ,223,  ,CALLENDER                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008273,0,02/08/17,8:50:57,553,Public service                                    ,0,0,11,BR             ,Allston-Brighton                                  ,02135,962,"Residential street, road or residential driveway  ",        ,  ,COLBORNE                 ,  ,RD  ,                                        ,  ,MONASTERY                ,  ,RD
17-0008276,0,02/08/17,9:06:34,900T,BFD Drill                                         ,0,0,6,BO             ,Boston                                            ,02110,150,"Public or government, Other                       ",125,  ,PURCHASE                 ,  ,ST  ,: @BFD ENG 10                           ,  ,                         ,  ,
17-0008277,0,02/08/17,9:11:33,700,"False alarm or false call, Other                  ",0,0,4,BO             ,Boston                                            ,02116,400,"Residential, Other                                ",122,  ,BEACON                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008284,0,02/08/17,9:24:18,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,02115,400,"Residential, Other                                ",70,  ,WESTLAND                 ,  ,AVE ,: #WYN2429                              ,  ,                         ,  ,
17-0008288,0,02/08/17,9:38:33,744,"Detector activation, no fire - unintentional      ",0,0,12,HP             ,Hyde Park                                         ,02136,419,1 or 2 family dwelling                            ,21-23   ,  ,LEXINGTON                ,  ,AVE ,: #WYN2061                              ,  ,                         ,  ,
17-0008289,0,02/08/17,9:43:46,736,CO detector activation due to malfunction         ,0,0,4,BO             ,Boston                                            ,02118,419,1 or 2 family dwelling                            ,28,  ,HANSON                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008291,0,02/08/17,9:46:19,734,Heat detector activation due to malfunction       ,0,0,3,BO             ,Boston                                            ,02109,400,"Residential, Other                                ",19-21   ,  ,CONGRESS                 ,  ,ST  ,: #13-1282                              ,  ,                         ,  ,
17-0008292,0,02/08/17,9:52:21,522,Water or steam leak                               ,0,0,9,JP             ,Jamaica Plain                                     ,02130,429,Multifamily dwelling                              ,7,  ,ATWOOD                   ,  ,SQ  ,                                        ,  ,                         ,  ,
17-0008293,0,02/08/17,9:52:32,551,Assist police or other governmental agency        ,0,0,7,DO             ,Dorchester                                        ,02121,429,Multifamily dwelling                              ,251,  ,NORMANDY                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008294,0,02/08/17,9:54:38,553,Public service                                    ,0,0,9,RX             ,Roxbury                                           ,02115,900,"Outside or special property, Other                ",3-Jul,  ,HUNTINGTON               ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008295,0,02/08/17,10:04:31,714,"Central station, malicious false alarm            ",0,0,9,RX             ,Roxbury                                           ,02115,0,"Property Use, Other                               ",250,  ,LONGWOOD                 ,  ,AVE ,: #HAR369                               ,  ,                         ,  ,
17-0008298,0,02/08/17,10:12:30,900T,BFD Drill                                         ,0,0,6,SB             ,South Boston                                      ,02127,888,Fire station                                      ,272,  ,D                        ,  ,ST  ,: @BFD ENG 39                           ,  ,                         ,  ,
17-0008299,0,02/08/17,10:14:50,600,"Good intent call, Other                           ",0,0,9,RX             ,Roxbury                                           ,02121,429,Multifamily dwelling                              ,501,  ,WARREN                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008303,0,02/08/17,10:23:52,131,Passenger vehicle fire                            ,3000,0,7,RX             ,Roxbury                                           ,02121,962,"Residential street, road or residential driveway  ",        ,  ,WYOMING                  ,  ,ST  ,                                        ,  ,WARREN                   ,  ,ST
17-0008305,0,02/08/17,10:27:21,900,"Special type of incident, Other                   ",0,0,3,               ,NULL,02129,900,"Outside or special property, Other                ",        ,  ,TERMINAL                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008306,0,02/08/17,10:41:57,600,"Good intent call, Other                           ",0,0,4,BO             ,Boston                                            ,02116,900,"Outside or special property, Other                ",352,  ,BEACON                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008309,0,02/08/17,10:58:30,413,Oil or other combustible liquid spill             ,0,0,6,RX             ,Roxbury                                           ,02118,500,"Mercantile, business, Other                       ",155,  ,SOUTHAMPTON              ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008310,0,02/08/17,11:06:25,900,"Special type of incident, Other                   ",0,0,3,CH             ,Charlestown                                       ,02129,254,"Day care, in commercial property                  ",3,  ,THIRTEENTH               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008312,0,02/08/17,11:10:31,735,Alarm system sounded due to malfunction           ,0,0,6,SB             ,South Boston                                      ,02127,173,Bus station                                       ,275,  ,DORCHESTER               ,  ,AVE ,": @MBTA CABOT YARDS - 275 DORCHESTER AV,",  ,                         ,  ,
17-0008313,0,02/08/17,11:15:39,500,"Service Call, other                               ",0,0,7,DO             ,Dorchester                                        ,02125,900,"Outside or special property, Other                ",100,  ,WILLIAM T MORRISSEY      ,  ,BLVD,: @COL-UMASS BOSTON - 100 WILLIAM T MORR,  ,                         ,  ,
17-0008314,0,02/08/17,11:17:03,500,"Service Call, other                               ",0,0,6,SB             ,South Boston                                      ,02127,150,"Public or government, Other                       ",700,E ,FOURTH                   ,  ,ST  ,: @BFD ENG 2                            ,  ,                         ,  ,
17-0008316,0,02/08/17,11:17:43,714,"Central station, malicious false alarm            ",0,0,9,JP             ,Jamaica Plain                                     ,02130,400,"Residential, Other                                ",30-40   ,  ,BICKFORD                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008319,0,02/08/17,11:27:14,745,"Alarm system activation, no fire - unintentional  ",0,0,12,RS             ,Roslindale                                        ,02131,400,"Residential, Other                                ",50,  ,SEYMOUR                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008320,0,02/08/17,11:29:45,745,"Alarm system activation, no fire - unintentional  ",0,0,8,DO             ,Dorchester                                        ,02124,331,Hospital - medical or psychiatric                 ,2100,  ,DORCHESTER               ,  ,AVE ,: #12-3456                              ,  ,                         ,  ,
17-0008321,0,02/08/17,11:35:09,500,"Service Call, other                               ",0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,6,  ,HARLOW                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008324,0,02/08/17,11:39:37,743,"Smoke detector activation, no fire - unintentional",0,0,4,BO             ,Boston                                            ,02118,429,Multifamily dwelling                              ,37,  ,MONSIGNOR REYNOLDS       ,  ,WAY ,: #SIM615                               ,  ,                         ,  ,
17-0008325,0,02/08/17,11:39:49,700,"False alarm or false call, Other                  ",0,0,3,BO             ,Boston                                            ,02114,449,"Hotel/motel, commercial                           ",107,  ,MERRIMAC                 ,  ,ST  ,: #14-1342                              ,  ,                         ,  ,
17-0008326,0,02/08/17,11:41:35,715,"Local alarm system, malicious false alarm         ",0,0,7,DO             ,Dorchester                                        ,02125,429,Multifamily dwelling                              ,15,  ,ROWELL                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008328,0,02/08/17,11:58:34,900T,BFD Drill                                         ,0,0,3,               ,NULL,00000,940,"Water area, Other                                 ",        ,  ,BOSTON HARBOR            ,  ,    ,: @INNER HARBOR (MYSTIC-TOBIN BRIDGE TO ,  ,                         ,  ,
17-0008329,0,02/08/17,12:11:33,700,"False alarm or false call, Other                  ",0,0,6,SB             ,South Boston                                      ,02210,500,"Mercantile, business, Other                       ",34,  ,FARNSWORTH               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008330,0,02/08/17,12:19:16,553,Public service                                    ,0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,30,  ,WALLINGFORD              ,  ,RD  ,                                        ,  ,                         ,  ,
17-0008332,0,02/08/17,12:22:22,740,"Unintentional transmission of alarm, Other        ",0,0,3,BO             ,Boston                                            ,02114,361,"Jail, prison (not juvenile)                       ",200,  ,NASHUA                   ,  ,ST  ,: #14-1341                              ,  ,                         ,  ,
17-0008333,0,02/08/17,12:23:20,113,"Cooking fire, confined to container               ",0,0,6,SB             ,South Boston                                      ,02127,439,"Boarding/rooming house, residential hotels        ",374,  ,DORCHESTER               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008334,0,02/08/17,12:24:37,611,Dispatched & cancelled en route                   ,0,0,4,BO             ,Boston                                            ,02215,    ,NULL,133,  ,BROOKLINE                ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008336,0,02/08/17,12:28:36,553,Public service                                    ,0,0,1,EB             ,East Boston                                       ,02128,900,"Outside or special property, Other                ",        ,  ,BORDER                   ,  ,ST  ,                                        ,  ,WHITE                    ,  ,ST
17-0008340,0,02/08/17,12:34:37,715,"Local alarm system, malicious false alarm         ",0,0,11,BR             ,Allston-Brighton                                  ,02134,429,Multifamily dwelling                              ,10,  ,GLENVILLE                ,  ,AVE ,                                        ,  ,                         ,  ,
17-0008341,0,02/08/17,12:39:01,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,02115,400,"Residential, Other                                ",491,  ,HUNTINGTON               ,  ,AVE ,: #PAT5720                              ,  ,                         ,  ,
17-0008345,0,02/08/17,12:43:53,500,"Service Call, other                               ",0,0,6,SB             ,South Boston                                      ,02127,173,Bus station                                       ,275,  ,DORCHESTER               ,  ,AVE ,": @MBTA CABOT YARDS - 275 DORCHESTER AV,",  ,                         ,  ,
17-0008350,0,02/08/17,13:01:44,445,"Arcing, shorted electrical equipment              ",0,0,11,BR             ,Allston-Brighton                                  ,02134,962,"Residential street, road or residential driveway  ",        ,  ,BRAINERD                 ,  ,RD  ,                                        ,  ,WALBRIDGE                ,  ,ST
17-0008351,0,02/08/17,13:01:59,715,"Local alarm system, malicious false alarm         ",0,0,9,JP             ,Jamaica Plain                                     ,02130,429,Multifamily dwelling                              ,7,  ,ATWOOD                   ,  ,SQ  ,                                        ,  ,                         ,  ,
17-0008353,0,02/08/17,13:21:14,552,Police matter                                     ,0,0,7,DO             ,Dorchester                                        ,02121,100,"Assembly, Other                                   ",36,  ,WASHINGTON               ,  ,ST  ,: @BFD ENG 24                           ,  ,                         ,  ,
17-0008354,0,02/08/17,13:27:56,550,"Public service assistance, Other                  ",0,0,7,DO             ,Dorchester                                        ,02121,963,Street or road in commercial area                 ,5-Feb,  ,WASHINGTON               ,  ,ST  ,: @BFD ENG 24                           ,  ,                         ,  ,
17-0008358,0,02/08/17,14:01:33,743,"Smoke detector activation, no fire - unintentional",0,0,3,BO             ,Boston                                            ,02114,400,"Residential, Other                                ",8,  ,WHITTIER                 ,  ,PL  ,: #16-1344                              ,  ,                         ,  ,
17-0008361,0,02/08/17,14:13:24,553,Public service                                    ,0,0,12,WR             ,West Roxbury                                      ,02132,400,"Residential, Other                                ",9,  ,CEDAR                    ,  ,RD  ,                                        ,  ,                         ,  ,
17-0008364,0,02/08/17,14:34:36,611,Dispatched & cancelled en route                   ,0,0,3,BO             ,Boston                                            ,02109,    ,NULL,136,  ,BLACKSTONE               ,  ,ST  ,: @MBTA STA-HYMKT ORA                   ,  ,                         ,  ,
17-0008369,0,02/08/17,15:21:00,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02109,311,"24-hour care Nursing homes, 4 or more persons     ",185,  ,FULTON                   ,  ,ST  ,: @BHA-AUSONIA HOMES                    ,  ,                         ,  ,
17-0008376,0,02/08/17,15:46:35,553,Public service                                    ,0,0,9,RX             ,Roxbury                                           ,02120,419,1 or 2 family dwelling                            ,14,  ,ESTABROOK                ,  ,RD  ,                                        ,  ,                         ,  ,
17-0008379,0,02/08/17,15:57:27,412,Gas leak (natural gas or LPG)                     ,0,0,9,JP             ,Jamaica Plain                                     ,02130,983,"Pipeline, power line or other utility right-of-way",11,  ,CALVIN                   ,  ,RD  ,                                        ,  ,                         ,  ,
17-0008380,0,02/08/17,16:03:17,554,Assist invalid                                    ,0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,20,  ,WASHINGTON               ,  ,ST  ,: @BHA-PATRICIA WHITE                   ,  ,                         ,  ,
17-0008383,0,02/08/17,16:09:05,113,"Cooking fire, confined to container               ",0,0,4,BO             ,Boston                                            ,02118,429,Multifamily dwelling                              ,20,E ,BROOKLINE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008384,0,02/08/17,16:13:09,730,"System malfunction, Other                         ",0,0,8,DO             ,Dorchester                                        ,02124,429,Multifamily dwelling                              ,102-112 ,  ,TALBOT                   ,  ,AVE ,: #INS1106                              ,  ,                         ,  ,
17-0008386,0,02/08/17,16:23:35,554,Assist invalid                                    ,0,0,7,DO             ,Dorchester                                        ,02121,429,Multifamily dwelling                              ,11,  ,CARMEN                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008389,0,02/08/17,16:30:08,554,Assist invalid                                    ,0,0,12,RS             ,Roslindale                                        ,02131,400,"Residential, Other                                ",120,  ,BROOKWAY                 ,  ,RD  ,: @BHA-ARCHDALE                         ,  ,                         ,  ,
17-0008390,0,02/08/17,16:40:34,113,"Cooking fire, confined to container               ",0,0,9,RX             ,Roxbury                                           ,02119,429,Multifamily dwelling                              ,74,  ,ROCKLAND                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008392,0,02/08/17,16:42:09,113,"Cooking fire, confined to container               ",0,0,7,BO             ,Boston                                            ,02118,429,Multifamily dwelling                              ,35,  ,NORTHAMPTON              ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008394,0,02/08/17,17:00:19,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02110,150,"Public or government, Other                       ",426,  ,WASHINGTON               ,  ,ST  ,: @MBTA STA-DT CR RED                   ,  ,                         ,  ,
17-0008395,0,02/08/17,17:13:39,413,Oil or other combustible liquid spill             ,0,0,9,RX             ,Roxbury                                           ,02119,962,"Residential street, road or residential driveway  ",        ,  ,HIGHLAND                 ,  ,AVE ,                                        ,  ,MILLMONT                 ,  ,ST
17-0008396,0,02/08/17,17:15:19,712,"Direct tie to FD, malicious false alarm           ",0,0,9,JP             ,Jamaica Plain                                     ,02130,400,"Residential, Other                                ",950,  ,PARKER                   ,  ,ST  ,: #12-2411                              ,  ,                         ,  ,
17-0008399,0,02/08/17,17:21:33,651,"Smoke scare, odor of smoke                        ",0,0,7,RX             ,Roxbury                                           ,02121,429,Multifamily dwelling                              ,9,  ,HOLBORN                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0008400,0,02/08/17,17:28:06,641,Vicinity alarm (incident in other location)       ,0,0,6,               ,NULL,02118,961,Highway or divided highway                        ,        ,  ,I93 EXIT 23              ,  ,    ,: @EX-NB I93 AT EXIT 23                 ,  ,                         ,  ,
